Atom,R2_amount,Percent_of_R2_TMPG
T,0.0321236291830318,5.485863068456509
M,-0.0008812076669965085,-0.15048687582816328
P,0.010187131859901166,1.7396916807036211
G,0.0006102432241646971,0.10421334237008475
TM,0.16683913152179108,28.49169453344969
TP,0.047938088397009415,8.186552870821599
TG,0.008069831639445857,1.378113011679327
MP,0.00010889202593555858,0.018595867239210556
MG,9.730192163737161e-05,0.016616585111194716
PG,0.003054439254197794,0.5216171374652284
TMP,0.10080950727356808,17.21558762088695
TMG,0.01836445256931818,3.1361609719881485
TPG,-0.0020355458949513627,-0.3476172005858035
MPG,0.0001264118495591937,0.021587788009904154
TMPG,0.20015880138392894,34.18180959823248
