Within_T_component_exact,Atom_Label,R2_amount,Percent_of_R2_T
Unique_T_only,T,0.0321236291830318,5.613390057953915
Overlap_T∩M_only,TM,0.16683913152179108,29.154026054340683
Overlap_T∩P_only,TP,0.047938088397009415,8.376861383620655
Overlap_T∩G_only,TG,0.008069831639445857,1.4101492840713967
Overlap_T∩M∩P,TMP,0.10080950727356808,17.615789382090995
Overlap_T∩M∩G,TMG,0.01836445256931818,3.209065665806807
Overlap_T∩P∩G,TPG,-0.0020355458949513627,-0.35569807583460844
Overlap_T∩M∩P∩G,TMPG,0.20015880138392894,34.976416247950155
