Model,R2
T,0.572267896073142
M,0.4856232908787419
P,0.3603477261491488
G,0.22844593594730067
TM,0.5717192942032776
TP,0.5857447710627357
TG,0.576156292322701
MP,0.5447674044948989
MG,0.4953222591015989
PG,0.3874895555037149
TMP,0.5849608653173766
TMG,0.5753839766816401
TPG,0.5864523162085378
MPG,0.5534474793585095
TMPG,0.5855711085415414
