"phylotree_tip_name","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12"
"Onchidella_celtica_ott162894",0,0,0,0,0,0,0,0,0,0,0,0
"Platydemus_manokwari_ott1048970",-0.0617464920146524,0.0063039583326868,0.000909172848562918,3.85249478466709e-05,0.000359640632082107,8.12363545993052e-05,0.00018727903611403,-0.000212415840954733,-0.000436146554046172,-0.00012290787971775,-0.0777656464588346,0.114390506128908
"Macrostomum_hystrix_ott264325",-0.0617475610300303,0.00630426095914376,0.00090924619183294,3.85299785838082e-05,0.000359707327162214,8.12672502234375e-05,0.000187380827551567,-0.000212592928088368,-0.000436524769645145,-0.000123044482322263,-0.077853907430775,0.114539231060089
"Macrostomum_lignano_ott735030",-0.0617475610300432,0.0063042609591456,0.000909246191836452,3.85299785852183e-05,0.000359707327163629,8.12672502322421e-05,0.000187380827552716,-0.000212592928090423,-0.000436524769640986,-0.000123044482322298,-0.0778539074307693,0.114539231060001
"Gyrodactylus_salaris_ott975572",-0.0617429461010965,0.00630295428304917,0.000908929449230649,3.85082461656364e-05,0.000359419114388266,8.11335829679349e-05,0.00018694000316287,-0.000211824682035784,-0.00043488364922029,-0.000122450874043872,-0.0774703137913317,0.113892207881167
"Protopolystoma_xenopodis_ott825123",-0.0617429461010965,0.00630295428304926,0.000908929449231488,3.85082461653377e-05,0.00035941911438836,8.11335829683712e-05,0.000186940003163942,-0.000211824682035796,-0.000434883649221898,-0.000122450874039864,-0.077470313791335,0.113892207881156
"Moniezia_expansa_ott416825",-0.0617897611793849,0.00631622602759677,0.000912150826590241,3.87297208355071e-05,0.000362362861074494,8.25098018052799e-05,0.000191509516654479,-0.000219886011750152,-0.000452128715458097,-0.000128754203294863,-0.0815477119583732,0.12081927553722
"Taenia_asiatica_ott614168",-0.0617911988360665,0.00631663351458423,0.00091224971337131,3.87365173226684e-05,0.000362453165946852,8.25519681707347e-05,0.000191649379587586,-0.000220132301061269,-0.000452655474551827,-0.000128946445165385,-0.0816720478706467,0.121030288825196
"Taenia_hydatigena_ott1004844",-0.0617911988360665,0.00631663351458423,0.00091224971337126,3.87365173218357e-05,0.000362453165948712,8.25519681692116e-05,0.000191649379586621,-0.000220132301060497,-0.00045265547455297,-0.000128946445164523,-0.0816720478706519,0.121030288825186
"Taenia_solium_ott1021812",-0.0617911988360665,0.00631663351458422,0.00091224971337125,3.87365173244447e-05,0.000362453165947879,8.25519681694961e-05,0.000191649379586826,-0.000220132301060873,-0.000452655474550435,-0.000128946445166635,-0.0816720478706495,0.121030288825192
"Taenia_saginata_ott1021818",-0.0617911988360665,0.0063166335145842,0.000912249713371257,3.87365173229598e-05,0.000362453165948379,8.25519681713627e-05,0.000191649379587266,-0.00022013230106134,-0.000452655474552484,-0.000128946445165035,-0.0816720478706452,0.121030288825197
"Hydatigera_taeniaeformis_taeniaeformis_ott5706087",-0.0617911842917627,0.00631662939221288,0.000912248712986807,3.87364485677014e-05,0.000362452252413988,8.2551541638276e-05,0.000191647964884273,-0.000220129810101353,-0.000452650146990799,-0.000128944501015155,-0.0816707904665348,0.121028154971772
"Rodentolepis_nana_ott348019",-0.0617902627674578,0.00631636819345801,0.000912185325765082,3.87320918706843e-05,0.000362394363647438,8.25245091652382e-05,0.000191558293730965,-0.000219971885434725,-0.000452312375719494,-0.000128821217701156,-0.0815910539429496,0.120892822700595
"Hymenolepis_diminuta_ott445201",-0.0617903574907689,0.00631639504083528,0.000912191840727698,3.87325396212183e-05,0.000362400312573736,8.25272863683169e-05,0.000191567503988854,-0.000219988099307324,-0.00045234705247503,-0.000128833869920368,-0.0815992367988174,0.120906707681587
"Hymenolepis_microstoma_ott1004838",-0.0617903574907689,0.00631639504083533,0.000912191840727702,3.87325396212532e-05,0.000362400312573751,8.25272863682162e-05,0.000191567503988577,-0.000219988099307844,-0.000452347052476876,-0.00012883386992031,-0.0815992367988182,0.120906707681588
"Dipylidium_caninum_ott242958",-0.0617897611793849,0.00631622602759684,0.000912150826590301,3.87297208353083e-05,0.00036236286107413,8.2509801804056e-05,0.000191509516653435,-0.00021988601175027,-0.000452128715456745,-0.000128754203294796,-0.081547711958375,0.120819275537222
"Spirometra_erinaceieuropaei_ott883817",-0.0617871460753471,0.0063154847577195,0.000911970926442247,3.87173549651339e-05,0.000362198536372184,8.24330407789024e-05,0.000191254815816433,-0.000219437219373453,-0.000451168777072186,-0.00012840368693379,-0.0813209976374018,0.120434376358983
"Ligula_intestinalis_ott1038488",-0.0617871460753471,0.0063154847577195,0.000911970926442252,3.87173549651254e-05,0.000362198536372223,8.24330407789404e-05,0.000191254815816363,-0.000219437219373564,-0.000451168777072408,-0.000128403686934342,-0.0813209976374017,0.120434376358983
"Schistocephalus_solidus_ott1064216",-0.0617871460753471,0.0063154847577195,0.000911970926442262,3.8717354965135e-05,0.000362198536372216,8.24330407789551e-05,0.000191254815816426,-0.000219437219373453,-0.000451168777072297,-0.000128403686933858,-0.0813209976374008,0.120434376358983
"Watersipora_subatra_ott5736426",-0.0617090877459061,0.00629335680152437,0.000906600195980053,3.83481369691382e-05,0.000357291458703143,8.01396374568621e-05,0.000183641854193449,-0.000206012834343929,-0.00042245238866247,-0.000117911450949137,-0.0745341982377093,0.108907345990982
"Membranipora_membranacea_ott970871",-0.0617090877459061,0.00629335680152437,0.00090660019598005,3.83481369691373e-05,0.000357291458703149,8.01396374568199e-05,0.00018364185419339,-0.000206012834344306,-0.000422452388662915,-0.000117911450949137,-0.0745341982377094,0.108907345990982
"Pomacea_canaliculata_ott229287",-0.064552125608661,0.00718322327046735,0.00114967468732838,5.90588157131959e-05,0.000732164934173726,-0.000470572309761641,-0.000212322579068067,7.09146144473923e-05,0.000126719947625396,-2.3556278522241e-05,-0.0302232805945269,-0.0624718191519942
"Pomacea_maculata_ott4159401",-0.064552125608661,0.00718322327046735,0.00114967468732838,5.90588157131884e-05,0.000732164934173713,-0.000470572309761646,-0.000212322579068031,7.09146144475545e-05,0.000126719947625519,-2.35562785219079e-05,-0.0302232805945271,-0.0624718191519941
"Lanistes_nyassanus_ott468252",-0.0645520808053252,0.00718320944707198,0.00114967096972903,5.90585066086189e-05,0.000732159492682985,-0.000470565140245881,-0.000212317957437744,7.09122481779976e-05,0.000126715549661839,-2.3555231209924e-05,-0.030221908471989,-0.0624685712198737
"Marisa_cornuarietis_ott370521",-0.0645520808053252,0.00718320944707198,0.00114967096972904,5.90585066086312e-05,0.000732159492682972,-0.000470565140246024,-0.000212317957437814,7.09122481780073e-05,0.000126715549661956,-2.35552312099783e-05,-0.0302219084719888,-0.0624685712198733
"Clea_helena_ott2901697",-0.0645484339856957,0.00718208511707503,0.00114936883903483,5.90334163236958e-05,0.000731718399627096,-0.000469986793265146,-0.000211946685527068,7.07235858963188e-05,0.000126365210889008,-2.34723471234802e-05,-0.0301133884150741,-0.0622128555965075
"Urosalpinx_cinerea_ott850826",-0.0645596223378093,0.00718553817319807,0.00115029779109767,5.91106938262274e-05,0.00073307954465525,-0.00047178370875603,-0.000213106930618719,7.13193870732787e-05,0.000127472950154202,-2.37368020540548e-05,-0.0304599444821872,-0.063034585898923
"Stramonita_haemastoma_haemastoma_ott545900",-0.0645604783925106,0.00718580235962086,0.00115036885839414,5.91166051285133e-05,0.000733183652507437,-0.00047192108941337,-0.000213195604550572,7.13648940398078e-05,0.000127557552605717,-2.37569889736399e-05,-0.0304863971828685,-0.0630972865846643
"Rapana_venosa_ott672626",-0.0645604783925106,0.00718580235962085,0.00115036885839413,5.91166051284968e-05,0.000733183652507436,-0.000471921089413434,-0.000213195604550525,7.13648940399677e-05,0.000127557552605699,-2.37569889737615e-05,-0.0304863971828684,-0.0630972865846641
"Concholepas_concholepas_ott685812",-0.0645604783925106,0.00718580235962085,0.00115036885839413,5.91166051284819e-05,0.00073318365250745,-0.000471921089413389,-0.000213195604550533,7.13648940399571e-05,0.000127557552605856,-2.37569889737249e-05,-0.0304863971828684,-0.0630972865846638
"Babylonia_areolata_ott4958669",-0.0645578630651266,0.00718499523658436,0.00115015173628514,5.90985448239008e-05,0.000732865574387432,-0.00047150132487523,-0.000212924647092995,7.12258259708153e-05,0.000127299006732834,-2.36952922555513e-05,-0.0304055498640938,-0.06290564350718
"Monoplex_corrugatus_ott2890223",-0.0645491769720585,0.00718231319705831,0.00114942984591107,5.9038446541402e-05,0.00073180613102536,-0.000470098513665775,-0.000212016589060984,7.07574243791166e-05,0.000126427680169174,-2.34864819453939e-05,-0.0301318125504085,-0.0622548892955558
"Potamopyrgus_estuarinus_ott513707",-0.0645506794635821,0.00718277677990309,0.00114955452305179,5.90488134045159e-05,0.000731988637907939,-0.000470339016076851,-0.000212171642438288,7.08368295581534e-05,0.000126575266963158,-2.35216342156986e-05,-0.0301778676311834,-0.0623639191432559
"Oncomelania_hupensis_hupensis_ott965382",-0.0645506794635821,0.0071827767799031,0.00114955452305179,5.90488134045127e-05,0.000731988637907924,-0.000470339016076945,-0.000212171642438372,7.08368295582048e-05,0.000126575266963107,-2.35216342157697e-05,-0.0301778676311834,-0.0623639191432557
"Littorina_saxatilis_ott182096",-0.0645513653772358,0.00718298842629894,0.00114961144740928,5.90535471088285e-05,0.00073207198293335,-0.000470448887739537,-0.000212242500037434,7.0873137461235e-05,0.000126642755245174,-2.35377163034185e-05,-0.0301989387048593,-0.0624138185506541
"Troschelvindex_candeana_ott7947181",-0.0645513653772358,0.00718298842629894,0.00114961144740928,5.90535471088427e-05,0.00073207198293335,-0.000470448887739581,-0.000212242500037442,7.08731374611591e-05,0.00012664275524521,-2.35377163035033e-05,-0.0301989387048593,-0.0624138185506536
"Goniobranchus_kuniei_ott168509",-0.0648359517769415,0.00727158302837313,0.00117366792756637,6.10837330117154e-05,0.000768410088520517,-0.00052135453730572,-0.000246892248705767,9.0571227626431e-05,0.000163725975242665,-3.32852324191467e-05,-0.0430985328373486,-0.0952781375006038
"Goniobranchus_leopardus_ott168511",-0.0648359517769415,0.00727158302837313,0.00117366792756636,6.10837330117311e-05,0.000768410088520523,-0.000521354537305705,-0.000246892248705718,9.05712276264784e-05,0.000163725975242667,-3.32852324192198e-05,-0.0430985328373488,-0.095278137500604
"Goniobranchus_geometricus_ott168517",-0.0648359517769415,0.00727158302837313,0.00117366792756636,6.10837330117377e-05,0.000768410088520522,-0.000521354537305774,-0.000246892248705876,9.05712276263924e-05,0.000163725975242584,-3.32852324190964e-05,-0.0430985328373484,-0.0952781375006039
"Goniobranchus_coi_ott319299",-0.0648359517769415,0.00727158302837313,0.00117366792756636,6.10837330117234e-05,0.000768410088520501,-0.00052135453730576,-0.000246892248705726,9.05712276265331e-05,0.000163725975242698,-3.32852324191515e-05,-0.0430985328373486,-0.0952781375006042
"Goniobranchus_fidelis_ott574892",-0.0648359517769415,0.00727158302837313,0.00117366792756636,6.10837330117102e-05,0.000768410088520487,-0.000521354537305709,-0.000246892248705725,9.05712276265158e-05,0.000163725975242591,-3.32852324191404e-05,-0.0430985328373486,-0.095278137500604
"Doris_montereyensis_ott579555",-0.0648354117704621,0.00727141510497658,0.00117362238436431,6.10798964445381e-05,0.000768341554686784,-0.000521259208873258,-0.000246827749936185,9.05349534443744e-05,0.000163657771678682,-3.3267468746602e-05,-0.0430750458171534,-0.095218674134932
"Doris_verrucosa_ott720739",-0.0648354117704621,0.00727141510497659,0.00117362238436431,6.10798964445443e-05,0.000768341554686812,-0.000521259208873212,-0.000246827749936242,9.05349534443837e-05,0.000163657771678615,-3.32674687465441e-05,-0.0430750458171537,-0.095218674134932
"Ancula_gibbosa_ott739837",-0.0648345082410862,0.00727113414025935,0.00117354618326582,6.10734773165054e-05,0.00076822688902587,-0.000521099718863972,-0.000246719843347576,9.0474270253779e-05,0.00016354367450779,-3.32377535296256e-05,-0.0430357567261343,-0.0951192071601862
"Plocamopherus_ceylonicus_ott917810",-0.0648351233705392,0.00727132541970066,0.00117359805962733,6.1077847218874e-05,0.000768304946635824,-0.000521208277969721,-0.000246793284524369,9.05155642596469e-05,0.000163621314422978,-3.32579710370847e-05,-0.0430624876991559,-0.0951868746612208
"Plocamopherus_imperialis_ott2875188",-0.0648351233705392,0.00727132541970066,0.00117359805962733,6.10778472188867e-05,0.000768304946635815,-0.000521208277969779,-0.000246793284524368,9.0515564259596e-05,0.00016362131442301,-3.32579710370722e-05,-0.0430624876991558,-0.0951868746612205
"Plocamopherus_tilesii_ott2875191",-0.0648351233705392,0.00727132541970066,0.00117359805962733,6.10778472188841e-05,0.000768304946635847,-0.000521208277969746,-0.000246793284524352,9.05155642596033e-05,0.000163621314423068,-3.32579710371649e-05,-0.043062487699156,-0.0951868746612205
"Caecinella_luctuosa_ott5743994",-0.0648380024238898,0.00727222081228827,0.00117384093344805,6.10983109012166e-05,0.000768670573560917,-0.000521717237257173,-0.000247137861610556,9.07095727089646e-05,0.000163986140980914,-3.33530804008013e-05,-0.0431882522004262,-0.09550548352972
"Scyllaea_pelagica_ott204536",-0.0648380024238898,0.00727222081228826,0.00117384093344805,6.10983109012182e-05,0.000768670573560916,-0.000521717237257215,-0.000247137861610519,9.0709572708865e-05,0.000163986140980812,-3.33530804008388e-05,-0.0431882522004258,-0.0955054835297201
"Dendronotus_venustus_ott945191",-0.0648380521215115,0.0072722362672923,0.00117384512528253,6.10986640502336e-05,0.000768676882528216,-0.00052172601556944,-0.000247143802527519,9.07129154419838e-05,0.000163992426403548,-3.33547180865231e-05,-0.0431904176205997,-0.0955109672989072
"Dendronotus_rufus_ott974461",-0.0648380521215115,0.00727223626729231,0.00117384512528253,6.10986640502154e-05,0.000768676882528233,-0.000521726015569451,-0.000247143802527477,9.0712915441943e-05,0.000163992426403574,-3.33547180864999e-05,-0.0431904176206002,-0.0955109672989067
"Tritonia_festiva_ott277834",-0.0648380863620384,0.00727224691545901,0.00117384801337295,6.10989073636546e-05,0.000768681229311282,-0.000521732063772128,-0.000247147895826669,9.07152186336049e-05,0.000163996757160652,-3.33558464966005e-05,-0.0431919096563277,-0.0955147458122507
"Tritonia_tetraquetra_ott650633",-0.0648380863620384,0.00727224691545902,0.00117384801337296,6.10989073636508e-05,0.000768681229311285,-0.000521732063772142,-0.000247147895826749,9.07152186336076e-05,0.000163996757160618,-3.33558464965604e-05,-0.0431919096563277,-0.0955147458122505
"Marioniopsis_babai_ott7960344",-0.0648380779486619,0.00727224429906109,0.00117384730373186,6.10988475786104e-05,0.000768680161258386,-0.000521730577681711,-0.000247146890082632,9.07146527393329e-05,0.000163995693095921,-3.3355569251518e-05,-0.0431915430707496,-0.0955138174613984
"Melibe_viridis_ott393507",-0.064838106123738,0.00727225306099323,0.00117384968022321,6.10990477915696e-05,0.000768683738058949,-0.00052173555454285,-0.000247150258335759,9.07165479824522e-05,0.000163999256779119,-3.33564978014782e-05,-0.0431927708430362,-0.0955169267541888
"Melibe_leonina_ott662108",-0.0648381061237381,0.00727225306099322,0.00117384968022321,6.10990477915671e-05,0.00076868373805898,-0.000521735554542846,-0.000247150258335729,9.07165479824183e-05,0.000163999256779109,-3.33564978014784e-05,-0.0431927708430361,-0.0955169267541896
"Melibe_bucephala_ott2874829",-0.0648381061237381,0.00727225306099322,0.00117384968022321,6.1099047791591e-05,0.000768683738058989,-0.00052173555454285,-0.000247150258335746,9.07165479824537e-05,0.00016399925677917,-3.33564978014478e-05,-0.043192770843036,-0.0955169267541893
"Lomanotus_vermiformis_ott979912",-0.0648380024238898,0.00727222081228824,0.00117384093344804,6.10983109012221e-05,0.000768670573560923,-0.000521717237257278,-0.000247137861610671,9.07095727088485e-05,0.000163986140980905,-3.33530804008762e-05,-0.0431882522004253,-0.095505483529721
"Hermissenda_crassicornis_ott159591",-0.0648367521478995,0.00727183199552407,0.00117373547389812,6.10894260770295e-05,0.000768511843536101,-0.000521496361942909,-0.000246988369174897,9.06254486905832e-05,0.000163827958326137,-3.33118612393712e-05,-0.0431337498779294,-0.0953674508667728
"Berghia_stephanieae_ott2876020",-0.0648367928443789,0.00727184465091297,0.00117373890627273,6.10897152277987e-05,0.000768517008866502,-0.000521503547435482,-0.000246993231231745,9.06281835054314e-05,0.000163833100473553,-3.3313200677197e-05,-0.0431355208951476,-0.0953719350150466
"Aeolidia_papillosa_ott823222",-0.0648367928443789,0.00727184465091297,0.00117373890627272,6.10897152278009e-05,0.000768517008866513,-0.000521503547435357,-0.00024699323123163,9.06281835053615e-05,0.00016383310047349,-3.33132006771955e-05,-0.0431355208951482,-0.0953719350150473
"Elysia_crispata_ott80756",-0.064826735787182,0.00726871670052401,0.00117289040238541,6.1018216580958e-05,0.000767239402192312,-0.000519724441754351,-0.000245788364947885,8.99494318749898e-05,0.000162556649509806,-3.2980279727102e-05,-0.0426952751040831,-0.09425627884515
"Elysia_chlorotica_ott388568",-0.064826735787182,0.00726871670052401,0.0011728904023854,6.10182165809532e-05,0.000767239402192302,-0.000519724441754274,-0.000245788364947813,8.99494318750599e-05,0.000162556649509792,-3.29802797269963e-05,-0.042695275104083,-0.0942562788451501
"Elysia_marginata_ott649165",-0.064826735787182,0.00726871670052399,0.00117289040238539,6.10182165809518e-05,0.000767239402192312,-0.000519724441754234,-0.000245788364947788,8.99494318751082e-05,0.000162556649509823,-3.2980279727109e-05,-0.0426952751040826,-0.0942562788451509
"Plakobranchus_ocellatus_ott462112",-0.0648267228758853,0.00726871268660444,0.00117288931405631,6.10181249389029e-05,0.000767237765926522,-0.000519722169544748,-0.000245786829729218,8.99485706165971e-05,0.000162555030618712,-3.29798589736981e-05,-0.0426947188997693,-0.0942548726860695
"Gastropteron_pacificum_ott2884606",-0.0648259182615778,0.00726846254145983,0.00117282148909937,6.1012413663834e-05,0.000767135788977483,-0.000519580547264611,-0.000245691136146982,8.98948800250088e-05,0.000162454108042449,-3.29536263268868e-05,-0.0426600409773446,-0.094167196269279
"Aplysia_californica_ott51009",-0.0648261649443228,0.00726853923055352,0.00117284228228122,6.10141645143262e-05,0.000767167049845816,-0.000519623955323406,-0.000245720463384813,8.9911331200313e-05,0.000162485030694018,-3.29616626081405e-05,-0.0426706642622054,-0.0941940520384071
"Phyllaplysia_taylori_ott694793",-0.0648261649443228,0.00726853923055353,0.00117284228228122,6.10141645143183e-05,0.000767167049845808,-0.00051962395532326,-0.0002457204633847,8.99113312003202e-05,0.000162485030694007,-3.2961662608151e-05,-0.0426706642622051,-0.094194052038407
"Clione_limacina_ott191194",-0.0648222326333398,0.0072673167154765,0.00117251080494138,6.09862518871836e-05,0.00076666865528089,-0.000518931780477398,-0.000245252752067158,8.96489017886437e-05,0.000161991737791419,-3.28334369783156e-05,-0.0425011573717918,-0.0937654758693003
"Limacina_bulimoides_ott2883891",-0.0648222326333398,0.0072673167154765,0.00117251080494138,6.09862518871764e-05,0.000766668655280889,-0.000518931780477342,-0.000245252752067256,8.96489017886392e-05,0.000161991737791386,-3.28334369784577e-05,-0.0425011573717916,-0.0937654758693002
"Tylodina_fungina_ott637191",-0.0648222326333398,0.00726731671547651,0.00117251080494139,6.09862518871979e-05,0.000766668655280892,-0.000518931780477458,-0.000245252752067283,8.96489017885952e-05,0.000161991737791331,-3.2833436978436e-05,-0.0425011573717918,-0.0937654758693007
"Biomphalaria_sudanica_ott268291",-0.064820798335733,0.00726686964453866,0.00117238924864415,6.09759727629625e-05,0.00076648426560216,-0.000518671486553911,-0.000245074471097721,8.9546461475297e-05,0.000161798653839019,-3.27822471929014e-05,-0.0424333595031302,-0.0935917811218922
"Biomphalaria_glabrata_ott673791",-0.064820798335733,0.00726686964453866,0.00117238924864415,6.09759727629673e-05,0.00076648426560214,-0.000518671486553723,-0.000245074471097716,8.95464614752884e-05,0.000161798653839057,-3.27822471930355e-05,-0.0424333595031304,-0.0935917811218924
"Biomphalaria_pfeifferi_ott960329",-0.064820798335733,0.00726686964453867,0.00117238924864415,6.0975972762972e-05,0.00076648426560219,-0.000518671486553697,-0.00024507447109772,8.95464614752488e-05,0.000161798653839062,-3.27822471929527e-05,-0.0424333595031303,-0.0935917811218926
"Biomphalaria_straminea_ott960333",-0.064820798335733,0.00726686964453867,0.00117238924864415,6.09759727629692e-05,0.000766484265602187,-0.00051867148655363,-0.000245074471097673,8.95464614753268e-05,0.000161798653839048,-3.27822471930333e-05,-0.0424333595031304,-0.0935917811218929
"Anisus_vortex_ott882493",-0.0648202813431233,0.00726670894509943,0.0011723456841542,6.09723053907482e-05,0.000766418803428139,-0.000518580674527433,-0.000245013166586233,8.9512122597382e-05,0.000161734119277269,-3.27654965698724e-05,-0.0424112192640594,-0.0935358579266811
"Physa_acuta_ott55904",-0.0648205434577612,0.00726679041929264,0.00117236777116936,6.09741647246392e-05,0.000766451992156479,-0.000518626714571271,-0.000245044246388433,8.95295310536697e-05,0.000161766835652655,-3.27739882570344e-05,-0.0424224431792203,-0.0935642075581004
"Radix_auricularia_ott274226",-0.0648207367182898,0.00726685049121074,0.00117238405617724,6.09755356303564e-05,0.000766476462496019,-0.000518660660071776,-0.000245067161517612,8.954236617644e-05,0.000161790957160512,-3.27802490543013e-05,-0.042430718401956,-0.0935851091950359
"Radix_balthica_ott621116",-0.0648207367182898,0.00726685049121073,0.00117238405617725,6.09755356303434e-05,0.00076647646249601,-0.000518660660071804,-0.000245067161517724,8.95423661764424e-05,0.000161790957160465,-3.27802490542765e-05,-0.0424307184019563,-0.0935851091950358
"Lymnaea_stagnalis_ott844828",-0.0648207044430018,0.00726684045895953,0.00117238133651604,6.09753066837073e-05,0.000766472375853884,-0.000518654991046184,-0.000245063334608366,8.95402226675024e-05,0.00016178692878778,-3.27792034813309e-05,-0.0424293364137612,-0.0935816185587537
